ID,Species,Animal_Class,WQ_Principles,WQ_Criteria,Welfare_Hazards_Animal,Welfare_Hazards_Consequences,Welfare_Hazards_Affective_States,Welfare_Hazards_Impact,Ease_of_Hazard_Mitigation,Welfare_Indicator,Indicator_Type,Indicator_Dimensions,Indicator_Ease,Indicator_Resources,Hazards_Source_1,Hazards_Source_2,Global_Usage,Norway_Usage
1,Beef,Adults - Cubicles,Good Health,Absence of disease,Pasture access,Gastro-enteric disorders,Discomfort,High,Difficult,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,,,F,Y
1,Beef,Adults - Tie stalls,Good Health,Absence of disease,Pasture access,Gastro-enteric disorders,Discomfort,High,Difficult,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,,,F,Y
1,Beef,Beef calves,Good Health,Absence of disease,Pasture access,Gastro-enteric disorders,Discomfort,High,Difficult,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,,,F,Y
1,Beef,Beef bulls,,,,,,,,,,,,,,,,
2,Beef,Adults - Cubicles,Appropiate behaviour,Expression of social behaviours,Continuous housing for long periods,General disruption of behaviour,Frustration,Low,Difficult,Agonistic behaviour,Welfare outcome,Behavioural,Moderate,Low,7,,"F, R",Y
2,Beef,Adults - Tie stalls,Appropiate behaviour,Expression of social behaviours,Continuous housing for long periods,General disruption of behaviour,Frustration,Low,Difficult,Agonistic behaviour,Welfare outcome,Behavioural,Moderate,Low,7,,"F, R",Y
2,Beef,Beef calves,,,,,,,,,,,,,,,,
2,Beef,Beef bulls,,,,,,,,,,,,,,,,
3,Beef,Adults - Cubicles,Appropiate behaviour,Expression of social behaviours,Lack of space for exercise and social interactions,General disruption of behaviour,Frustration,Low,Difficult,Agonistic behaviour,Welfare outcome,Behavioural,Moderate,Low,22,,"F, R",Y
3,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
3,Beef,Beef calves,Appropiate behaviour,Expression of social behaviours,Lack of space for exercise and social interactions,General disruption of behaviour,Frustration,Low,Difficult,Agonistic behaviour,Welfare outcome,Behavioural,Moderate,Low,22,,"F, R",Y
