ID,Species,Animal_Class,WQ_Principles,WQ_Criteria,Welfare_Hazards_Animal,Welfare_Hazards_Consequences,Welfare_Hazards_Affective_States,Welfare_Hazards_Impact,Ease_of_Hazard_Mitigation,Welfare_Indicator,Indicator_Type,Indicator_Dimensions,Indicator_Ease,Indicator_Resources,Hazards_Source_1,Hazards_Source_2,Global_Usage,Norway_Usage
1,Broilers,Broilers,Good Health,Absence of disease,Poor quality diet,Gastro-enteric disorders,Discomfort,High,Easy,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,30,,F,N
2,Broilers,Broilers,Good Health,Absence of disease,Poor water quality,Gastro-enteric disorders,Discomfort,High,Moderate,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,30,,F,N
3,Broilers,Broilers,Appropiate behaviour,Positive emotional state,High stocking density,Group (social) stress,Fear,Low,Easy,Aggressive interactions,Welfare outcome,Behavioural,Easy,Low,27,29,F,Y
4,Broilers,Broilers,Good Housing,Comfort around resting,High stocking density,Resting problems,Fatigue,High,Easy,Bird disturbance,Welfare outcome,Behavioural,Easy,Low,"27, 30",29,F,Y
5,Broilers,Broilers,Good Housing,Comfort around resting,Inappropriate light cycle (long photoperiod),Resting problems,Fatigue,High,Easy,Bird disturbance,Welfare outcome,Behavioural,Easy,Low,"27, 30",29,F,Y
6,Broilers,Broilers,Good Health,Absence of disease,Crusted litter,Soft tissue lesions and integument damage,Pain,High,Moderate,Breast blisters,Welfare outcome,Health/physical/production,Easy,Low,27,,F,N (research only)
7,Broilers,Broilers,Good Health,Absence of disease,Unbalanced body conformation,Soft tissue lesions and integument damage,Pain,High,Difficult,Breast blisters,Welfare outcome,Health/physical/production,Easy,Low,27,,F,N (research only)
8,Broilers,Broilers,Good Health,Absence of disease,Low light intensity,Soft tissue lesions and integument damage,Pain,High,Easy,Breast burns,Welfare outcome,Health/physical/production,Easy,Low,27,,F,N (research only)
9,Broilers,Broilers,Good Health,Absence of disease,Wet litter,Soft tissue lesions and integument damage,Pain,High,Moderate,Breast burns,Welfare outcome,Health/physical/production,Easy,Low,27,,F,N (research only)
10,Broilers,Broilers,Good Health,Absence of disease,Crusted litter,Soft tissue lesions and integument damage,Pain,High,Moderate,Bruises,Welfare outcome,Health/physical/production,Moderate,Medium,27,29,R,N (research only)
11,Broilers,Broilers,Good Health,Absence of disease,Unbalanced body conformation,Soft tissue lesions and integument damage,Pain,High,Difficult,Bruises,Welfare outcome,Health/physical/production,Moderate,Medium,27,29,R,N (research only)
12,Broilers,Broilers,Good Health,Absence of disease,Low light intensity,Soft tissue lesions and integument damage,Pain,High,Easy,Bruises,Welfare outcome,Health/physical/production,Moderate,Medium,27,29,R,N (research only)
13,Broilers,Broilers,Good Health,Absence of disease,Wet litter,Soft tissue lesions and integument damage,Pain,High,Moderate,Bruises,Welfare outcome,Health/physical/production,Moderate,Medium,27,29,R,N (research only)
14,Broilers,Broilers,Good Health,Absence of injuries,High stocking density,Soft tissue lesions and integument damage,Pain,High,Easy,Bruises,Welfare outcome,Health/physical/production,Moderate,Medium,27,29,R,N (research only)
15,Broilers,Broilers,Good Health,Absence of injuries,Inappropriate environmental enrichment,Soft tissue lesions and integument damage,Pain,High,Easy,Bruises,Welfare outcome,Health/physical/production,Moderate,Medium,30,29,R,N (research only)
16,Broilers,Broilers,Good Health,Absence of injuries,Lack of space,Soft tissue lesions and integument damage,Pain,High,Moderate,Bruises,Welfare outcome,Health/physical/production,Moderate,Medium,30,29,R,N (research only)
17,Broilers,Broilers,Good Health,Absence of injuries,Poor housing design and allocation of resources,Soft tissue lesions and integument damage,Pain,High,Difficult,Bruises,Welfare outcome,Health/physical/production,Moderate,Medium,30,29,R,N (research only)
18,Broilers,Broilers,Good Health,Absence of injuries,High light intensity,Soft tissue lesions and integument damage,Pain,High,Easy,Bruises,Welfare outcome,Health/physical/production,Moderate,Medium,27,29,R,N (research only)
19,Broilers,Broilers,Good Housing,Thermal comfort,High or low humidity,Cold stress,Discomfort,Low,Moderate,Cloacal temperature,Welfare outcome,Health/physical/production ,Moderate,Low,"27, 30",29,R,N (research only)
20,Broilers,Broilers,Good Housing,Thermal comfort,Low environmental temperature ,Cold stress,Discomfort,Low,Moderate,Cloacal temperature,Welfare outcome,Health/physical/production ,Moderate,Low,"27, 30",29,R,N (research only)
21,Broilers,Broilers,Good Health,Absence of disease,Poor quality diet,Gastro-enteric disorders,Discomfort,High,Easy,Cloacal temperature,Welfare outcome,Health/physical/production ,Moderate,Low,30,29,R,N (research only)
22,Broilers,Broilers,Good Health,Absence of disease,Poor water quality,Gastro-enteric disorders,Discomfort,High,Moderate,Cloacal temperature,Welfare outcome,Health/physical/production ,Moderate,Low,30,29,R,N (research only)
23,Broilers,Broilers,Good Health,Absence of disease,Fast growth rate,Metabolic disorders,Discomfort,High,Difficult,Distended abdomen due to ascites,Welfare outcome,Health/physical/production,Moderate,Medium,27,,F,Y
24,Broilers,Broilers,Appropiate behaviour,Positive emotional state,Inadequate environment,Inability to perform comfort behaviour,Discomfort,Low,Moderate,Dustbathing,Welfare outcome,Behavioural,Moderate,Medium,,29,"F, R",Y
25,Broilers,Broilers,Appropiate behaviour,Positive emotional state,High stocking density,Group (social) stress,Fear,Low,Easy,Fear response,Welfare outcome,Behavioural,Moderate,Medium,27,29,R,N (research only)
26,Broilers,Broilers,Appropiate behaviour,Positive emotional state,Predation risk on range,Predation stress,Fear,Low,Moderate,Fear response,Welfare outcome,Behavioural,Moderate,Medium,,29,R,N (research only)
27,Broilers,Broilers,Good Health,Absence of disease,Poor quality diet,Gastro-enteric disorders,Discomfort,High,Easy,Feather and body dirtiness,Welfare outcome,Health/physical/production ,Easy,Low,30,29,F,Y
28,Broilers,Broilers,Good Health,Absence of disease,Poor water quality,Gastro-enteric disorders,Discomfort,High,Moderate,Feather and body dirtiness,Welfare outcome,Health/physical/production ,Easy,Low,30,29,F,Y
29,Broilers,Broilers,Appropiate behaviour,Positive emotional state,Inadequate environment,Inability to perform comfort behaviour,Discomfort,Low,Moderate,Feather and body dirtiness,Welfare outcome,Health/physical/production,Easy,Low,,29,F ,Y
30,Broilers,Broilers,Good Housing,Ease of movement,High stocking density,Restriction of movement,Frustration,High,Easy,Feather and body dirtiness,Welfare outcome,Health/physical/production,Easy,Low,"27, 30",29,F,Y
31,Broilers,Broilers,Good Housing,Ease of movement,Poor housing design and allocation of resources,Restriction of movement,Frustration,High,Difficult,Feather and body dirtiness,Welfare outcome,Health/physical/production,Easy,Low,30,29,F,Y
32,Broilers,Broilers,Good Health,Absence of disease,Fast growth rate,Locomotor disorders (including lameness),Pain,High,Difficult,Flock activity,Welfare outcome,Behavioural ,Easy,Low,27,29,F,Y
33,Broilers,Broilers,Good Health,Absence of disease,Unbalanced body conformation,Locomotor disorders (including lameness),Pain,High,Difficult,Flock activity,Welfare outcome,Behavioural ,Easy,Low,27,29,F,Y
34,Broilers,Broilers,Good Health,Absence of disease,Wet litter,Locomotor disorders (including lameness),Pain,High,Moderate,Flock activity,Welfare outcome,Behavioural ,Easy,Low,27,29,F,Y
35,Broilers,Broilers,Good Health,Absence of disease,Fast growth rate,Mortality,Di(stress),High,Difficult,Flock records (sudden death),Management input,,Easy,Low,27,,F,Y
36,Broilers,Broilers,Good Health,Absence of disease,Poor quality diet,Gastro-enteric disorders,Discomfort,High,Easy,Footpad dermatitis,Welfare outcome,Health/physical/production ,Easy,Low,30,29,F,Y
37,Broilers,Broilers,Good Health,Absence of disease,Poor water quality,Gastro-enteric disorders,Discomfort,High,Moderate,Footpad dermatitis,Welfare outcome,Health/physical/production ,Easy,Low,30,29,F,Y
38,Broilers,Broilers,Good Housing,Ease of movement,High stocking density,Restriction of movement,Frustration,High,Easy,Footpad dermatitis,Welfare outcome,Health/physical/production,Easy,Low,"27, 30",29,F,Y
