ID,Species,Animal_Class,WQ_Principles,WQ_Criteria,Welfare_Hazards_Animal,Welfare_Hazards_Consequences,Welfare_Hazards_Affective_States,Welfare_Hazards_Impact,Ease_of_Hazard_Mitigation,Welfare_Indicator,Indicator_Type,Indicator_Dimensions,Indicator_Ease,Indicator_Resources,Hazards_Source_1,Hazards_Source_2,Global_Usage,Norway_Usage
1,Dairy calves,Dairy calves,Good Health,Absence of disease,Group housing during rearing (dynamic groups),Gastro-enteric disorders,Discomfort,High,Difficult,Abdominal and other discomfort,Welfare outcome,Health/physical/production,Moderate,Low,11,,F,Y
2,Dairy calves,Dairy calves,Good Health,Absence of disease,Early separation of cow and calf,Gastro-enteric disorders,Discomfort,High,Difficult,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,6,,F,Y
3,Dairy calves,Dairy calves,Good Health,Absence of disease,Leaving calf with cow,Gastro-enteric disorders,Discomfort,High,Difficult,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,6,,F,Y
4,Dairy calves,Dairy calves,Good Health,Absence of disease,Pasture access,Gastro-enteric disorders,Discomfort,High,Moderate,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,7,,F,Y
5,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Individual housing during rearing,Isolation stress,Fear,High,Moderate,Abnormal oral behaviours,Welfare outcome,Behavioural,Moderate,Low,9,13,F,Y
6,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Mixing animals from different groups,Group (social) stress,Fear,Low,Moderate,Aggressive interactions with physical contact,Welfare outcome,Behavioural,Easy,Low,,13,F,Y
7,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Mixing animals from different groups,Group (social) stress,Di(stress),Low,Moderate,Aggressive interactions with physical contact,Welfare outcome,Behavioural,Easy,Low,,13,F,Y
8,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Abrupt weaning from milk,Prolonged hunger,Discomfort,High,Easy,Amount of concentrate consumed,Welfare outcome,Health/physical/production,Easy,Low,10,10,F ,Y
9,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Poor handling,Handling stress,Fear,Low,Easy,Avoidance distance,Welfare outcome,Behavioural,Moderate,Low,,13,R,N (research only)
10,Dairy calves,Dairy calves,Good Health,Absence of disease,Group housing during rearing (dynamic groups),Gastro-enteric disorders,Discomfort,High,Difficult,Bloat,Welfare outcome,Health/physical/production,Moderate,Low,,13,F,Y
