ID,Species,Animal_Class,WQ_Principles,WQ_Criteria,Welfare_Hazards_Animal,Welfare_Hazards_Consequences,Welfare_Hazards_Affective_States,Welfare_Hazards_Impact,Ease_of_Hazard_Mitigation,Welfare_Indicator,Indicator_Type,Indicator_Dimensions,Indicator_Ease,Indicator_Resources,Hazards_Source_1,Hazards_Source_2,Global_Usage,Norway_Usage
1,Laying hens,Laying hens - Aviaries,Appropiate behaviour,Positive emotional state,Inadequate environment,Group (social) stress,Fear,Low,Difficult,Aggressive interactions,Welfare outcome,Behavioural,Easy,Low,,31,F,Y
1,Laying hens,Laying hens - Aviaries and free range,Appropiate behaviour,Positive emotional state,Inadequate environment,Group (social) stress,Fear,Low,Difficult,Aggressive interactions,Welfare outcome,Behavioural,Easy,Low,,31,F,Y
2,Laying hens,Laying hens - Aviaries,Appropiate behaviour,Expression of social behaviours,Too few drinkers,General disruption of behaviour,Frustration,Low,Easy,Agonistic behaviour around drinking,Welfare outcome,Behavioural,Moderate,Low,30,,"F, R",Y
2,Laying hens,Laying hens - Aviaries and free range,Appropiate behaviour,Expression of social behaviours,Too few drinkers,General disruption of behaviour,Frustration,Low,Easy,Agonistic behaviour around drinking,Welfare outcome,Behavioural,Moderate,Low,30,,"F, R",Y
3,Laying hens,Laying hens - Aviaries,Appropiate behaviour,Expression of social behaviours,Too few feeding places,General disruption of behaviour,Frustration,Low,Easy,Agonistic behaviour around feeding,Welfare outcome,Behavioural,Moderate,Low,30,,"F, R",Y
3,Laying hens,Laying hens - Aviaries and free range,Appropiate behaviour,Expression of social behaviours,Too few feeding places,General disruption of behaviour,Frustration,Low,Easy,Agonistic behaviour around feeding,Welfare outcome,Behavioural,Moderate,Low,30,,"F, R",Y
4,Laying hens,Laying hens - Aviaries,Good Health,Absence of injuries,Barren environment,Soft tissue lesions and integument damage,Pain,High,Easy,Beak shape and length,Welfare outcome,Health/physical/production,Easy,Low,30,31,F,Y
4,Laying hens,Laying hens - Aviaries and free range,Good Health,Absence of injuries,Barren environment,Soft tissue lesions and integument damage,Pain,High,Easy,Beak shape and length,Welfare outcome,Health/physical/production,Easy,Low,30,31,F,Y
5,Laying hens,Laying hens - Aviaries,Good Health,Absence of injuries,High stocking density,Soft tissue lesions and integument damage,Pain,High,Easy,Beak shape and length,Welfare outcome,Health/physical/production,Easy,Low,30,31,F,Y
5,Laying hens,Laying hens - Aviaries and free range,Good Health,Absence of injuries,High stocking density,Soft tissue lesions and integument damage,Pain,High,Easy,Beak shape and length,Welfare outcome,Health/physical/production,Easy,Low,30,31,F,Y
6,Laying hens,Laying hens - Aviaries,Good Health,Absence of injuries,Inappropriate environmental enrichment,Soft tissue lesions and integument damage,Pain,High,Easy,Beak shape and length,Welfare outcome,Health/physical/production,Easy,Low,30,31,F,Y
6,Laying hens,Laying hens - Aviaries and free range,Good Health,Absence of injuries,Inappropriate environmental enrichment,Soft tissue lesions and integument damage,Pain,High,Easy,Beak shape and length,Welfare outcome,Health/physical/production,Easy,Low,30,31,F,Y
7,Laying hens,Laying hens - Aviaries,Good Health,Absence of injuries,Inappropriate light intensity,Soft tissue lesions and integument damage,Pain,High,Easy,Beak shape and length,Welfare outcome,Health/physical/production,Easy,Low,30,31,F,Y
7,Laying hens,Laying hens - Aviaries and free range,Good Health,Absence of injuries,Inappropriate light intensity,Soft tissue lesions and integument damage,Pain,High,Easy,Beak shape and length,Welfare outcome,Health/physical/production,Easy,Low,30,31,F,Y
8,Laying hens,Laying hens - Aviaries,Good Health,Absence of injuries,Insufficient environmental enrichment,Soft tissue lesions and integument damage,Pain,High,Easy,Beak shape and length,Welfare outcome,Health/physical/production,Easy,Low,30,31,F,Y
