ID,Species,Animal_Class,WQ_Principles,WQ_Criteria,Welfare_Hazards_Animal,Welfare_Hazards_Consequences,Welfare_Hazards_Affective_States,Welfare_Hazards_Impact,Ease_of_Hazard_Mitigation,Welfare_Indicator,Indicator_Type,Indicator_Dimensions,Indicator_Ease,Indicator_Resources,Hazards_Source_1,Hazards_Source_2,Global_Usage,Norway_Usage
1,Pigs,Meat pigs,,,,,,,,,,,,,,,,
1,Pigs,Pregnant sows - Groups,,,,,,,,,,,,,,,,
1,Pigs,Lactating sows - Pens,,,,,,,,,,,,,,,,
1,Pigs,Unweaned piglets,Good Health,Absence of disease,Inadequate access to feed (abrupt rather than gradual change from sows's milk to solid feed),Gastro-enteric disorders,Discomfort,High,Easy,Abdominal discomfort ,Welfare outcome ,Health/physical/production,Moderate,Low,16,,F,Y
1,Pigs,Boars,,,,,,,,,,,,,,,,
2,Pigs,Meat pigs,Good Health,Absence of disease,Inappropriate diet,Gastro-enteric disorders,Discomfort,High,Easy,Abdominal discomfort ,Welfare outcome ,Health/physical/production,Moderate,Low,14,,F,Y
2,Pigs,Pregnant sows - Groups,Good Health,Absence of disease,Inappropriate diet,Gastro-enteric disorders,Discomfort,High,Easy,Abdominal discomfort ,Welfare outcome ,Health/physical/production,Moderate,Low,14,,F,Y
2,Pigs,Lactating sows - Pens,Good Health,Absence of disease,Inappropriate diet,Gastro-enteric disorders,Discomfort,High,Easy,Abdominal discomfort ,Welfare outcome ,Health/physical/production,Moderate,Low,14,,F,Y
2,Pigs,Unweaned piglets,Good Health,Absence of disease,Inappropriate diet,Gastro-enteric disorders,Discomfort,High,Easy,Abdominal discomfort ,Welfare outcome ,Health/physical/production,Moderate,Low,14,,F,Y
2,Pigs,Boars,Good Health,Absence of disease,Inappropriate diet,Gastro-enteric disorders,Discomfort,High,Easy,Abdominal discomfort ,Welfare outcome ,Health/physical/production,Moderate,Low,14,,F,Y
3,Pigs,Meat pigs,Good Health,Absence of disease,Inappropriate materials in feed,Gastro-enteric disorders,Pain,High,Easy,Abdominal discomfort ,Welfare outcome ,Health/physical/production,Moderate,Low,15,,F,Y
3,Pigs,Pregnant sows - Groups,,,,,,,,,,,,,,,,
3,Pigs,Lactating sows - Pens,,,,,,,,,,,,,,,,
3,Pigs,Unweaned piglets,,,,,,,,,,,,,,,,
3,Pigs,Boars,,,,,,,,,,,,,,,,
4,Pigs,Meat pigs,Good Health,Absence of disease,Inappropriate perforation of slats to keep pen clean from manure and urine ,Gastro-enteric disorders,Pain,High,Moderate,Abdominal discomfort ,Welfare outcome ,Health/physical/production,Moderate,Low,14,,F,Y
4,Pigs,Pregnant sows - Groups,,,,,,,,,,,,,,,,
4,Pigs,Lactating sows - Pens,,,,,,,,,,,,,,,,
4,Pigs,Unweaned piglets,,,,,,,,,,,,,,,,
