ID,Species,Animal_Class,WQ_Principles,WQ_Criteria,Welfare_Hazards_Animal,Welfare_Hazards_Consequences,Welfare_Hazards_Affective_States,Welfare_Hazards_Impact,Ease_of_Hazard_Mitigation,Welfare_Indicator,Indicator_Type,Indicator_Dimensions,Indicator_Ease,Indicator_Resources,Hazards_Source_1,Hazards_Source_2,Global_Usage,Norway_Usage
1,Sheep,Adults - Outside year-round,Good Health,Absence of disease,Internal parasites,Gastro-enteric disorders,Discomfort,High,Easy,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,24,,F,Y
1,Sheep,Lambs from outside year round,Good Health,Absence of disease,Internal parasites,Gastro-enteric disorders,Discomfort,High,Easy,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,24,,F,Y
1,Sheep,Adults - Outside/winter housed,Good Health,Absence of disease,Internal parasites,Gastro-enteric disorders,Discomfort,High,Easy,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,24,,F,Y
1,Sheep,Lambs from winter housed,Good Health,Absence of disease,Internal parasites,Gastro-enteric disorders,Discomfort,High,Easy,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,24,,F,Y
2,Sheep,Adults - Outside year-round,Good Health,Absence of disease,Overcrowded or dirty drinking facilities,Gastro-enteric disorders,Discomfort,High,Easy,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,24,,F,Y
2,Sheep,Lambs from outside year round,Good Health,Absence of disease,Overcrowded or dirty drinking facilities,Gastro-enteric disorders,Discomfort,High,Easy,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,24,,F,Y
2,Sheep,Adults - Outside/winter housed,Good Health,Absence of disease,Overcrowded or dirty drinking facilities,Gastro-enteric disorders,Discomfort,High,Easy,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,24,,F,Y
2,Sheep,Lambs from winter housed,Good Health,Absence of disease,Overcrowded or dirty drinking facilities,Gastro-enteric disorders,Discomfort,High,Easy,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,24,,F,Y
3,Sheep,Adults - Outside year-round,,,,,,,,,,,,,,,,
3,Sheep,Lambs from outside year round,,,,,,,,,,,,,,,,
3,Sheep,Adults - Outside/winter housed,Good Health,Absence of disease,Poor management of bedding (in bedded systems),Gastro-enteric disorders,Discomfort,High,Easy,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,,,F,Y
3,Sheep,Lambs from winter housed,Good Health,Absence of disease,Poor management of bedding (in bedded systems),Gastro-enteric disorders,Discomfort,High,Easy,Abdominal discomfort,Welfare outcome,Health/physical/production,Moderate,Low,,,F,Y
4,Sheep,Adults - Outside year-round,,,,,,,,,,,,,,,,
4,Sheep,Lambs from outside year round,,,,,,,,,,,,,,,,
4,Sheep,Adults - Outside/winter housed,Appropiate behaviour,Expression of social behaviours,High stocking density indoors,Group (social) stress,Di(stress),Low,Easy,Agonistic behaviour,Welfare outcome,Behavioural,Moderate,Low,24,,"F, R",Y
